subprime
;income;loan.amount;high.rate;black;woman
126;55;25;0;0;0
127;49;230;0;0;0
128;60;126;0;0;1
129;170;330;0;0;0
130;180;225;0;0;0
131;72;167;1;0;0
132;420;780;0;0;1
133;120;298;0;0;1
134;326;102;0;0;0
135;64;211;0;0;1
136;44;175;1;0;1
137;63;60;0;0;0
138;275;510;0;0;0
139;90;231;1;0;1
140;61;100;0;0;0
141;166;214;0;0;0
142;420;800;0;0;0
143;24;100;0;0;1
144;52;144;0;0;1
145;510;656;0;0;0
146;66;209;0;0;0
147;111;230;0;0;0
148;46;145;0;0;1
149;239;340;0;0;0
150;50;95;0;0;0
151;439;555;0;0;0
152;60;360;0;0;1
153;19;140;0;0;0
154;180;201;0;0;0
155;216;273;0;0;0
156;246;127;0;0;0
157;416;400;0;0;0
158;108;328;0;0;0
159;278;200;0;0;0
160;25;70;0;0;1
161;72;209;1;0;0
162;119;53;1;0;0
163;312;835;0;0;0
164;75;37;0;0;1
165;155;524;0;0;0
166;75;188;1;0;0
167;88;316;0;0;0
168;48;92;0;0;0
169;68;189;1;0;1
170;946;533;0;0;0
171;111;195;0;0;0
172;148;172;0;0;0
173;195;300;0;0;0
174;29;97;0;0;1
175;38;92;0;0;0
176;292;316;0;0;0
177;90;149;0;0;0
178;82;266;1;0;1
179;206;150;0;0;0
180;61;169;1;1;0
181;55;68;1;0;1
182;180;109;0;0;0
183;49;160;1;0;0
184;54;280;0;0;0
185;56;179;0;0;0
186;120;181;0;0;0
187;325;344;0;0;0
188;540;596;0;0;0
189;852;1300;0;0;0
190;463;202;0;0;0
191;800;1200;0;0;0
192;240;134;0;0;0
193;264;450;0;0;0
194;79;123;0;0;0
195;110;36;1;0;0
196;360;337;0;0;0
197;52;200;0;0;1
198;90;204;0;0;1
199;36;145;0;0;0
200;31;150;0;0;0
201;76;218;1;0;0
202;380;413;0;0;0
203;55;206;0;0;0
204;147;345;0;0;0
205;102;260;0;0;1
206;300;420;0;0;0
207;108;370;1;0;0
208;108;390;1;0;1
209;49;152;0;0;1
210;70;220;0;0;1
211;161;287;0;0;0
212;265;400;0;0;1
213;30;100;1;0;0
214;54;211;1;0;0
215;80;330;0;0;0
216;164;390;0;0;0
217;170;140;0;0;0
218;425;1450;0;0;1
219;85;192;0;0;0
220;107;100;0;0;0
221;77;265;1;0;1
222;50;229;0;1;1
223;78;266;0;0;0
224;240;319;0;0;0
225;251;214;0;0;0
226;179;221;0;0;0
227;69;226;0;0;1
228;210;370;0;0;1
229;504;472;0;0;0
230;103;220;0;0;0
231;125;331;0;0;0
232;120;199;0;0;0
233;114;189;0;0;0
234;286;83;0;0;0
235;50;190;1;1;1
236;50;156;0;0;0
237;17;153;0;1;0
238;43;185;0;1;1
239;48;44;1;0;0
240;111;338;0;0;0
241;155;198;0;0;0
242;52;169;1;0;0
243;165;399;0;0;0
244;40;121;0;0;0
245;58;222;0;0;0
246;66;43;1;1;1
247;66;241;1;0;1
248;53;175;0;0;0
249;161;232;0;0;0
250;300;174;0;0;1
251;66;257;0;0;1
252;564;173;0;0;0
253;66;194;0;0;0
254;78;377;0;0;1
255;183;580;0;0;1
256;69;40;0;0;0
257;1500;401;0;0;0
258;66;195;0;0;0
259;210;596;1;0;0
260;59;125;0;0;1
261;182;400;0;0;0
262;53;179;0;0;1
263;235;400;0;0;1
264;91;288;0;0;0
265;310;394;0;0;0
266;67;187;0;1;0
267;119;144;0;0;1
268;51;151;1;0;1
269;51;163;0;0;0
270;324;46;1;1;0
271;92;120;0;0;0
272;20;60;0;0;1
273;183;200;0;0;0
274;90;172;1;0;1
275;106;220;1;0;0
276;78;310;1;0;0
277;193;373;0;0;0
278;94;62;1;0;0
279;127;157;0;0;0
280;67;44;1;0;0
281;118;131;0;0;0
282;432;1080;0;1;1
283;87;102;0;0;0
284;48;125;0;0;0
285;108;250;1;1;0
286;585;459;0;0;1
287;99;310;0;0;1
288;55;148;0;0;1
289;192;20;0;0;0
290;83;230;0;0;1
291;100;180;0;0;1
292;76;133;0;0;0
293;60;210;1;1;1
294;57;151;1;0;1
295;316;326;0;0;0
296;222;540;0;0;0
297;154;232;0;0;0
298;160;138;1;1;0
299;150;511;0;0;1
300;144;96;0;0;0
301;120;260;0;0;1
302;120;259;0;0;0
303;1353;160;0;0;0
304;122;346;0;0;0
305;128;33;0;0;0
306;84;212;0;0;1
307;70;28;1;1;0
308;48;228;0;0;1
309;52;224;0;0;1
310;222;272;0;0;0
311;54;202;0;1;0
312;54;228;1;0;0
313;400;658;0;0;0
314;62;120;0;0;0
315;61;110;0;0;1
316;60;192;0;0;0
317;173;276;1;1;0
318;60;148;0;0;1
319;90;29;0;1;1
320;137;100;0;0;0
321;49;181;0;0;0
322;88;200;0;0;0
323;168;109;0;0;0
324;65;163;0;0;0
325;261;339;0;0;0
326;200;204;0;0;0
327;71;46;1;0;1
328;312;417;0;0;0
329;45;48;0;0;0
330;78;144;0;0;1
331;260;30;1;0;0
332;103;132;0;0;0
333;98;258;1;0;0
334;94;33;0;0;0
335;55;20;0;0;0
336;104;340;0;0;0
337;50;168;0;0;1
338;250;493;0;0;0
339;70;235;0;0;0
340;36;12;0;0;0
341;127;211;0;0;0
342;66;221;0;0;0
343;153;176;0;0;0
344;134;302;0;0;0
345;60;332;0;0;0
346;51;145;0;0;1
347;43;217;0;0;1
348;893;469;1;0;0
349;282;84;0;0;0
350;110;235;0;0;0
351;117;278;0;0;0
352;85;191;1;0;0
353;77;194;0;0;0
354;101;256;0;0;0
355;266;251;0;0;1
356;150;103;0;0;0
357;68;196;0;0;0
358;60;188;0;0;0
359;1500;375;0;0;0
360;54;228;0;0;0
361;69;235;0;0;0
362;400;232;0;0;0
363;86;43;0;0;0
364;74;279;0;0;0
365;398;199;0;0;0
366;88;226;0;0;0
367;135;216;0;0;0
368;144;135;0;0;0
369;217;417;0;0;0
370;290;300;0;0;0
371;110;318;0;0;0
372;50;153;0;0;0
373;123;300;0;0;1
374;44;205;1;0;0
375;80;125;0;0;0
376;106;63;0;0;0
377;55;125;0;0;0
378;70;214;0;0;1
379;153;417;0;0;0
380;111;43;1;0;0
381;67;197;0;0;0
382;45;161;0;1;0
383;200;250;0;0;0
384;24;55;0;0;1
385;86;200;0;0;1
386;87;280;0;0;0
387;192;417;0;0;0
388;109;88;0;0;0
389;50;134;0;0;0
390;199;771;0;0;0
391;300;319;0;0;1
392;78;180;0;0;1
393;96;245;0;0;0
394;84;164;1;0;0
395;57;186;0;0;0
396;38;47;0;0;0
397;84;305;0;0;0
398;166;61;1;0;0
399;117;326;0;0;0
400;33;128;0;0;0
401;150;345;0;0;0
402;75;194;1;0;0
403;93;45;0;0;1
404;390;395;0;0;1
405;120;189;0;0;0
406;163;70;0;0;0
407;36;132;0;0;0
408;200;408;0;0;0
409;48;151;0;0;1
410;260;236;1;0;0
411;95;380;1;0;0
412;115;221;0;0;1
413;53;135;0;0;0
414;275;166;0;0;0
415;54;157;0;0;0
416;33;140;0;0;0
417;184;266;1;0;0
418;65;161;0;0;1
419;57;206;0;0;0
420;89;276;1;0;0
421;94;146;0;0;0
422;96;350;0;0;0
423;140;338;0;0;0
424;50;190;0;0;0
425;105;191;0;0;0
426;336;101;0;0;0
427;78;279;0;0;0
428;64;136;0;0;1
429;42;147;0;1;0
430;76;53;1;0;0
431;74;247;1;0;1
432;150;222;0;0;0
433;90;160;0;0;0
434;72;100;0;0;1
435;84;130;1;0;1
436;76;110;1;0;0
437;79;182;1;0;1
438;30;97;0;0;0
439;140;425;0;0;0
440;64;182;0;0;0
441;84;189;0;0;0
442;77;208;0;0;0
443;552;500;0;0;0
444;74;52;1;0;0
445;44;125;1;0;1
446;45;136;0;0;0
447;50;194;0;0;0
448;50;188;0;0;0
449;34;143;0;0;0
450;360;417;0;0;0
451;179;500;0;0;0
452;61;210;1;0;1
453;218;339;1;0;0
454;133;400;0;0;0
455;52;190;1;0;0
456;79;125;0;0;0
457;55;225;0;0;0
458;73;253;0;0;0
459;120;140;0;0;0
460;555;760;0;0;0
461;167;100;1;0;0
462;75;354;0;1;0
463;275;150;0;0;0
464;51;139;1;0;0
465;33;150;0;0;0
466;253;25;0;0;0
467;220;191;1;0;0
468;89;336;0;0;0
469;102;40;0;0;0
470;47;194;1;0;0
471;160;224;0;0;0
472;27;150;0;0;1
473;94;192;0;0;0
474;420;145;1;0;0
475;48;180;0;0;1
476;90;266;0;0;0
477;191;288;0;0;0
478;72;192;0;0;1
479;164;75;0;0;0
480;546;230;0;0;0
481;110;150;0;0;1
482;620;812;0;0;0
483;95;233;0;0;0
484;46;29;0;0;1
485;139;400;0;0;0
486;153;307;1;0;1
487;72;168;0;0;0
488;69;154;1;0;0
489;60;215;0;0;0
490;38;119;0;0;0
491;84;220;0;0;0
492;56;151;0;0;1
493;197;452;0;0;0
494;235;110;0;0;0
495;67;143;0;0;1
496;60;32;0;0;0
497;58;150;0;0;1
498;188;270;0;0;0
499;92;58;0;0;0
500;71;195;0;1;1
501;123;800;0;0;0
502;168;135;0;0;0
503;46;119;0;0;1
504;749;417;0;0;0
505;225;440;0;0;1
506;236;149;0;0;0
507;53;189;0;0;1
508;35;105;0;0;1
509;53;118;0;0;0
510;52;37;1;1;0
511;66;93;0;0;0
512;65;197;0;1;0
513;38;20;0;0;0
514;200;100;0;0;0
515;77;316;0;0;0
516;62;250;1;0;0
517;59;200;0;0;0
518;104;196;0;0;1
519;291;435;0;0;0
520;144;275;0;0;0
521;100;276;0;0;1
522;93;91;0;0;1
523;86;42;1;0;0
524;29;50;0;0;1
525;92;229;0;0;1
526;205;53;1;0;0
527;91;200;1;0;1
528;150;344;0;0;0
529;125;209;0;0;0
530;90;162;0;0;0
531;89;357;0;0;0
532;43;196;0;0;0
533;42;120;0;0;1
534;135;145;1;0;0
535;118;69;1;0;0
536;44;160;0;1;0
537;63;189;0;0;0
538;52;154;1;0;0
539;350;411;0;1;0
540;411;467;0;0;0
541;113;355;0;0;0
542;352;877;0;0;0
543;46;190;0;0;0
544;486;750;0;0;0
545;44;50;1;0;0
546;107;348;0;0;0
547;56;205;0;1;0
548;62;152;0;0;0
549;54;141;1;0;1
550;934;975;0;0;1
551;212;405;0;0;0
552;297;360;0;0;0
553;39;176;1;0;0
554;35;148;0;0;0
555;303;452;0;0;0
556;97;245;1;0;0
557;85;48;1;0;0
558;202;348;0;0;1
559;66;128;1;0;0
560;161;338;0;0;1
561;51;180;1;0;0
562;53;27;0;0;0
563;99;397;1;0;0
564;65;200;0;0;1
565;149;196;0;0;0
566;210;190;0;0;0
567;77;300;0;0;0
568;85;192;0;0;0
569;70;176;1;0;1
570;51;168;0;0;1
571;51;208;0;0;0
572;199;350;0;0;0
573;1040;574;0;0;1
574;126;222;0;0;0
575;105;300;0;0;1
576;46;111;0;0;1
577;127;238;0;0;0
578;228;342;1;0;0
579;200;134;0;0;0
580;54;145;0;0;0
581;82;148;0;0;1
582;60;209;0;1;0
583;73;93;0;0;1
584;97;280;0;0;0
585;72;225;1;0;0
586;104;110;0;0;0
587;95;233;0;0;0
588;254;360;0;0;0
589;230;272;0;0;0
590;72;193;1;0;0
591;659;417;0;0;0
592;456;416;0;0;0
593;54;180;0;0;1
594;85;290;0;0;1
595;930;219;1;0;0
596;175;99;0;0;0
597;116;140;0;0;1
598;419;468;0;0;0
599;117;299;0;0;0
600;92;158;1;0;0
601;93;203;0;0;0
602;86;37;1;0;0
603;117;125;0;0;1
604;162;37;0;0;0
605;162;314;0;0;0
606;70;170;0;0;0
607;71;144;1;0;0
608;83;348;0;0;0
609;120;142;0;0;0
610;75;172;1;0;0
611;134;285;1;0;1
612;89;178;1;0;0
613;86;48;1;0;1
614;79;238;0;0;0
615;78;33;0;0;1
616;43;169;0;0;0
617;533;256;0;0;0
618;142;37;0;0;0
619;269;506;0;0;1
620;50;206;0;0;1
621;78;184;1;0;0
622;96;67;1;0;1
623;73;198;0;0;0
624;180;479;0;1;0
625;67;106;0;0;1
626;118;214;0;0;0
627;42;162;0;1;1
628;79;256;1;0;0
629;324;150;0;0;0
630;88;360;1;0;0
631;200;287;0;0;0
632;135;153;0;0;0
633;90;103;0;0;1
634;250;417;0;0;0
635;90;300;0;0;0
636;112;193;0;0;0
637;51;174;0;0;0
638;92;125;0;0;1
639;75;226;0;0;0
640;147;240;0;0;0
641;106;139;0;0;0
642;320;320;0;0;1
643;178;600;0;0;0
644;50;227;0;0;0
645;90;239;0;0;1
646;66;155;0;0;1
647;38;90;0;1;1
648;125;348;0;0;0
649;72;161;1;1;1
650;600;417;0;0;0
651;80;185;0;0;0
652;50;248;1;0;0
653;90;285;0;0;0
654;75;179;0;0;1
655;267;1000;0;0;0
656;29;50;0;0;1
657;328;547;0;0;0
658;75;164;0;0;0
659;162;440;0;0;0
660;425;120;0;0;0
661;41;200;0;0;0
662;80;59;0;0;0
663;84;175;0;0;0
664;140;409;0;0;0
665;224;256;1;0;0
666;15;57;1;0;0
667;78;100;0;0;1
668;56;165;1;1;1
669;180;963;0;0;1
670;373;35;1;0;0
671;324;189;0;0;0
672;258;395;0;0;0
673;113;356;0;0;1
674;185;371;0;0;0
675;96;169;1;1;0
676;60;150;0;0;1
677;50;153;1;0;0
678;50;193;0;0;0
679;49;192;0;0;1
680;146;143;0;0;1
681;58;259;0;0;0
682;96;296;0;0;0
683;271;251;0;0;1
684;72;215;0;0;0
685;77;150;0;0;1
686;110;198;1;0;0
687;118;230;1;1;0
688;415;468;0;0;0
689;150;367;0;0;0
690;53;37;1;1;1
691;83;248;0;0;1
692;58;119;1;0;0
693;72;150;0;0;0
694;150;345;0;0;0
695;303;114;0;0;0
696;107;255;0;0;1
697;34;158;0;0;0
698;38;23;0;0;0
699;54;61;1;0;0
700;48;200;0;0;1
701;40;101;1;1;1
702;171;444;0;0;0
703;99;417;0;0;0
704;120;260;0;0;0
705;900;164;0;0;0
706;135;146;0;0;0
707;78;161;0;0;1
708;22;87;0;0;1
709;198;303;0;0;0
710;229;312;0;0;1
711;135;280;0;0;1
712;80;28;0;0;0
713;54;139;0;0;0
714;74;274;0;0;0
715;108;110;0;0;0
716;145;580;1;0;0
717;38;108;0;0;1
718;51;150;0;0;0
719;56;27;1;0;1
720;103;240;0;0;0
721;38;165;0;0;1
722;700;264;0;0;1
723;54;175;0;0;0
724;82;218;0;0;1
725;66;127;0;0;0
726;65;207;0;0;0
727;240;70;0;0;0
728;178;150;0;0;0
729;102;116;0;0;0
730;221;170;0;0;0
731;140;70;0;0;1
732;149;145;0;0;1
733;80;221;1;0;1
734;234;425;0;0;1
735;60;207;1;0;0
736;75;32;0;0;1
737;153;232;0;1;1
738;37;42;1;0;1
739;102;142;0;0;1
740;135;350;0;0;0
741;77;120;0;0;0
742;160;28;0;0;0
743;162;215;0;0;0
744;292;31;0;0;0
745;390;392;0;0;0
746;332;1397;0;0;0
747;107;23;1;0;0
748;99;83;0;0;0
749;41;176;0;0;0
750;44;153;0;0;0
751;46;210;0;0;1
752;50;162;0;0;1
753;175;207;0;0;0
754;60;192;0;0;0
755;189;100;0;0;1
756;204;468;0;0;0
757;138;349;0;0;0
758;134;384;0;0;0
759;55;100;0;0;1
760;342;215;0;0;0
761;59;218;1;0;0
762;799;1300;0;0;0
763;1517;243;0;0;0
764;29;129;0;0;1
765;86;176;0;0;0
766;92;227;0;0;0
767;210;106;0;0;1
768;126;160;0;0;1
769;42;145;0;0;0
770;51;37;1;0;0
771;111;216;0;0;0
772;101;221;1;0;0
773;48;135;0;0;1
774;81;170;0;0;0
775;49;40;0;0;1
776;70;136;0;0;0
777;80;298;0;0;0
778;96;273;1;0;0
779;16;127;0;0;1
780;115;42;0;0;0
781;133;406;0;0;0
782;234;417;0;0;1
783;229;326;0;0;1
784;68;356;0;0;0
785;72;194;1;0;0
786;78;168;1;0;0
787;55;146;1;0;0
788;78;63;0;0;1
789;163;190;0;0;1
790;106;151;0;0;0
791;53;164;0;0;0
792;98;159;0;0;1
793;84;230;0;0;0
794;61;129;0;0;0
795;74;231;1;0;1
796;390;196;0;0;0
797;163;469;0;0;0
798;48;119;0;0;0
799;70;62;1;0;0
800;182;56;0;0;0
801;500;399;0;0;0
802;109;238;1;0;0
803;43;72;1;0;0
804;148;214;0;0;0
805;130;140;0;0;0
806;137;160;0;0;1
807;52;255;1;0;0
808;118;32;0;0;0
809;51;182;1;0;1
810;44;237;0;0;0
811;240;381;1;0;0
812;74;100;0;0;1
813;85;199;0;0;0
814;63;271;0;0;0
815;188;271;1;0;0
816;514;770;0;0;1
817;93;205;0;0;0
818;40;180;1;1;1
819;141;347;0;0;1
820;137;381;0;0;0
821;96;120;0;0;0
822;34;127;0;0;1
823;82;190;0;0;1
824;26;120;0;0;0
825;104;275;1;0;1
826;77;189;1;0;0
827;80;117;0;0;1
828;243;380;0;0;0
829;100;395;0;0;1
830;82;50;0;0;0
831;60;134;0;0;0
832;65;169;0;0;0
833;35;150;1;0;1
834;44;160;0;0;0
835;56;150;0;0;0
836;102;159;0;0;1
837;527;125;0;0;1
838;92;182;0;0;1
839;900;800;0;0;0
840;47;116;1;0;0
841;59;214;0;0;0
842;130;100;1;0;0
843;60;209;0;0;0
844;113;320;1;0;1
845;107;206;1;0;0
846;96;52;1;0;0
847;144;266;0;0;0
848;173;286;0;0;0
849;359;298;0;0;0
850;264;223;1;0;0
851;55;111;0;0;0
852;80;260;1;0;0
853;63;113;0;0;0
854;81;181;0;0;0
855;462;507;1;0;0
856;175;180;0;0;0
857;115;27;0;0;0
858;32;85;0;0;0
859;42;169;1;1;0
860;68;293;0;0;0
861;38;176;0;1;1
862;59;35;1;0;1
863;45;101;1;0;0
864;24;300;0;0;0
865;122;417;0;0;0
866;55;220;0;0;0
867;540;703;0;0;0
868;65;168;0;0;0
869;78;173;1;0;0
870;575;354;1;0;0
871;85;260;0;0;0
872;79;198;0;0;0
873;203;417;0;0;0
874;26;100;0;0;1
875;260;150;0;0;0
876;48;136;0;0;1
877;107;52;1;0;0
878;191;160;0;0;0
879;40;119;0;0;0
880;67;240;0;0;0
881;185;417;0;0;0
882;86;226;0;0;0
883;37;157;0;0;0
884;213;72;1;0;0
885;70;280;0;0;0
886;18;50;0;0;0
887;66;37;1;0;0
888;102;149;0;0;1
889;85;175;1;0;0
890;293;304;0;0;0
891;37;22;1;0;0
892;168;433;0;0;0
893;80;285;0;0;1
894;62;163;0;0;0
895;55;77;0;0;0
896;126;272;0;0;1
897;360;330;0;0;1
898;114;327;0;0;0
899;46;114;0;0;1
900;600;732;0;0;0
901;81;254;0;0;1
902;164;180;0;0;0
903;95;119;0;0;1
904;347;156;0;0;0
905;103;384;0;0;0
906;157;128;0;0;0
907;49;208;1;1;0
908;33;140;0;0;0
909;90;100;0;0;0
910;78;56;0;0;1
911;72;247;0;0;0
912;291;556;0;0;0
913;29;120;0;0;0
914;240;512;1;0;0
915;38;164;0;0;1
916;31;120;0;0;0
917;95;63;1;1;1
918;85;185;0;0;0
919;45;84;0;0;1
920;251;369;1;0;0
921;48;219;0;0;0
922;82;83;1;0;0
923;125;408;0;0;0
924;168;195;0;0;0
925;204;125;0;0;0
926;65;142;0;0;0
927;110;257;0;1;1
928;111;400;0;0;0
929;94;232;0;0;0
930;83;225;0;0;0
931;52;127;0;0;0
932;55;150;0;0;1
933;408;743;0;0;1
934;181;478;0;1;0
935;456;1500;0;0;0
936;83;146;0;0;0
937;40;170;0;0;0
938;125;228;0;0;0
939;236;325;0;0;0
940;72;60;0;0;0
941;140;200;0;0;1
942;234;156;0;0;0
943;49;162;1;0;0
944;30;87;0;0;1
945;110;368;0;0;1
946;807;560;0;0;0
947;60;203;0;0;0
948;310;648;0;0;1
949;36;45;1;0;0
950;72;337;0;0;0
951;47;161;0;0;0
952;115;143;1;0;0
953;60;13;0;0;1
954;83;308;0;0;1
955;48;155;0;0;0
956;127;313;1;0;0
957;74;157;0;0;0
958;129;310;0;0;1
959;360;252;1;0;0
960;124;287;1;0;0
961;65;303;1;0;0
962;110;23;1;0;0
963;550;528;0;0;0
964;248;60;0;1;1
965;36;145;0;0;0
966;86;130;1;0;0
967;58;190;1;0;0
968;69;53;1;0;1
969;34;170;0;1;0
970;85;362;0;0;1
971;99;348;0;0;0
972;168;132;0;0;1
973;364;417;0;0;0
974;39;91;1;0;0
975;48;160;0;0;1
976;200;98;0;0;0
977;49;255;1;0;0
978;72;36;0;0;0
979;32;130;1;0;1
980;88;224;0;0;0
981;281;460;0;0;1
982;102;234;0;0;0
983;125;270;0;0;0
984;44;77;0;0;0
985;25;75;0;0;1
986;62;29;0;1;1
987;318;220;0;0;0
988;247;576;0;1;0
989;50;143;0;0;1
990;1402;182;0;0;0
991;35;170;0;1;1
992;82;240;0;0;1
993;90;372;0;0;0
994;150;285;0;0;0
995;95;152;0;0;0
996;44;160;1;0;1
997;77;237;0;0;0
998;74;187;1;0;1
999;44;26;0;0;1
1000;45;40;0;0;0
